data_cid,title,category,description
13008656976565151198,Garden Design,Penata taman di Texas,"""Garden Design is a full-service landscape and outdoor living company in Dallas, Houston and San Antonio. Whether you have a small garden or large estate, a small commercial landscape or large corporate campus, Garden Design can enhance the beauty of your landscape and help increase the value of your property."""
9707107629812380933,SIARA DESIGNS,Penata taman di Texas,
2603443799719571116,Gardens for Texas,"Perancang lansekap di Dallas, Texas",
15332987785023871975,"Ayala's Landscaping & Tree Service, LLC.","Jasa pemeliharaan dan penebangan pohon di Dallas, Texas","""We specialize in helping clients increase the value and beauty of their homes by creating elegant outdoor living spaces. We create beautiful yard designs by combining landscaping, tree service, lawn care, and general outdoor maintenance. Our ultimate goal is to ensure that you are completely satisfied with the end result of your project. Satisfaction, guaranteed!"""
10433599259317138132,Abundance Landscaping Irving,"Jasa pemeliharaan dan penebangan pohon di Dallas, Texas","""Abundance Landscaping, Garden, Xeriscape, Edging, Irving is a Quality, performance, customer satisfaction and the constant desire to strive for perfection is what makes Abundance Landscaping the most respected landscape company of its kind in the Dallas/Fort Worth Metroplex. Specializing in Dallas landscape design, architecture and development, Abundance Landscaping is the industry leader, providing full-service landscape design, construction and installation, lawn maintenance, irrigation, custom stonework, woodwork, landscape lighting, property restoration and tree services."""
8912436143077726700,Complete Landsculpture,"Penata taman di Dallas, Texas","""Complete Landsculpture is an award winning, full-service landscape design firm founded in 1985. We offer residential and commercial landscape and outdoor living solutions and services. From design and installation to maintenance and management, we are ready to improve the appearance and value of your property.

Complete Landsculpture offers comprehensive, innovative and creative solutions for all your landscape and outdoor living needs – Creating a Complete Outdoor Experience"""
7582694999440248872,Lawns of Dallas,"Penata taman di Dallas, Texas",
15622733428594528284,The Plant Concierge,"Penata taman di Dallas, Texas","""The Plant Concierge is the premier Dallas landscaping lawn care company, offering a wide variety of services. We believe every landscape deserves to be pampered, and at The Plant Concierge, our landscaping expertise is fully at your service. We give you more than a nice-looking garden and freshly cut grass, we deliver you full-service lawn and garden solutions to an organically grown landscape that blossoms with pure beauty. No harmful pesticides or artificial products, just simple, natural growth. For more information about how we can help beautify your landscape, contact us!"""
12008356766144821999,Original Landscape Concepts Inc.,"Arsitek lansekap di Dallas, Texas",
3366678942294128264,"Qualitech- sod installation, synthetic grass, putting greens","Arsitek lansekap di Dallas, Texas","""Being locally owned and operated, Qualitech Landscaping and sod strives to be a one-stop-shop solution for all your landscaping, sod installation, artificial turf and putting green services in Dallas TX. We are proud to offer the best sod contractors in your search for “local turf installers near me” and we get the job done all under your desired requirements. So, if you want the best sod or artificial grass installation we are the ones that you need.
Qualitech Landscaping is an experienced company that offers its exceptional expertise in synthetic turf installation. In our 15 years of service, we have known to be the best sod installation and turf installation company for a wide range of commercial and residential clients in Dallas TX."""
14193611923770804995,Vargas Landscape and Sprinklers,"Penata taman di Dallas, Texas","""We are a Family Owned! We take pride in doing a great job and make sure our customers are happy! Do not hesitate to give us a a call. We offer landscaping, sod installation, irrigation installation, sprinkler repairs, pavers walkway and patios, drain installation and more! 20 + years experience. Commercial and Residental!!
Vargas Landscape and Sprinklers"""
12817041893260188283,Polo Landscapes,"Penata taman di Dallas, Texas",
